source_listing_id,title,source_url,source_name,source_type,source_base_url,city,district,area_id,municipality,address,market_type,price,currency,area_m2,rooms,floor,building_floors,building_year,first_seen_at,last_seen_at,observed_at,days_on_market,price_reductions,price_increases,relisted,lat,lon,distance_to_center_km,nearest_stop_m,nearest_school_m,nearest_major_road_m,nearest_industrial_zone_m,parks_within_1km,schools_within_1km,planned_investments_within_2km,data_quality_score
med-001,3 pokoje niska zabudowa Mędłów,https://example-suburban-partner.test/listings/med-001,Demo Suburban Partner Feed,partner_csv,https://example-suburban-partner.test,Mędłów,Mędłów,medlow-medlow,Mędłów,Piastów Śląskich Mędłów,secondary,612000,PLN,60.1,3,1,2,2010,2026-04-21,2026-07-08,2026-07-08,78,1,0,false,51.0071,17.0476,12.8,520,1450,830,3100,1,0,0,77
med-002,Mieszkanie 3 pokoje z ogródkiem Mędłów,https://example-suburban-partner.test/listings/med-002,Demo Suburban Partner Feed,partner_csv,https://example-suburban-partner.test,Mędłów,Mędłów,medlow-medlow,Mędłów,Kwiatowa Mędłów,secondary,639000,PLN,58.2,3,0,2,2013,2026-05-09,2026-07-08,2026-07-08,61,0,0,false,51.0049,17.0464,13.0,610,1510,760,3300,1,0,0,74
med-003,Dwupoziomowe 4 pokoje pod Wrocławiem,https://example-suburban-partner.test/listings/med-003,Demo Suburban Partner Feed,partner_csv,https://example-suburban-partner.test,Mędłów,Mędłów,medlow-medlow,Mędłów,Sportowa Mędłów,secondary,760000,PLN,72.5,4,1,2,2009,2026-03-18,2026-07-08,2026-07-08,112,2,0,false,51.0083,17.0512,12.6,700,1320,890,2950,2,0,0,76
kob-001,3 pokoje w centrum Kobierzyc,https://example-suburban-partner.test/listings/kob-001,Demo Suburban Partner Feed,partner_csv,https://example-suburban-partner.test,Kobierzyce,Kobierzyce,kobierzyce-kobierzyce,Kobierzyce,Wrocławska Kobierzyce,secondary,545000,PLN,55.4,3,2,3,2008,2026-04-18,2026-07-08,2026-07-08,81,1,0,false,50.9716,16.9348,16.5,620,760,710,2400,1,1,0,75
kob-002,2 pokoje po remoncie Kobierzyce,https://example-suburban-partner.test/listings/kob-002,Demo Suburban Partner Feed,partner_csv,https://example-suburban-partner.test,Kobierzyce,Kobierzyce,kobierzyce-kobierzyce,Kobierzyce,Spółdzielcza Kobierzyce,secondary,475000,PLN,47.0,2,1,3,2011,2026-05-11,2026-07-08,2026-07-08,58,0,0,false,50.9704,16.9385,16.7,680,810,760,2550,1,1,0,74
wys-001,3 pokoje blisko granicy Wrocławia Wysoka,https://example-suburban-partner.test/listings/wys-001,Demo Suburban Partner Feed,partner_csv,https://example-suburban-partner.test,Wysoka,Wysoka,wysoka-wysoka,Wysoka,Radosna Wysoka,secondary,748000,PLN,58.7,3,2,4,2016,2026-04-29,2026-07-08,2026-07-08,70,0,0,false,51.0337,17.0264,8.7,390,910,540,2600,1,1,1,78
wys-002,2 pokoje z balkonem Wysoka,https://example-suburban-partner.test/listings/wys-002,Demo Suburban Partner Feed,partner_csv,https://example-suburban-partner.test,Wysoka,Wysoka,wysoka-wysoka,Wysoka,Brzozowa Wysoka,secondary,589000,PLN,46.8,2,1,3,2018,2026-05-16,2026-07-08,2026-07-08,53,0,1,false,51.0351,17.0292,8.9,450,960,500,2750,1,1,1,76
bie-001,3 pokoje Bielany Wrocławskie,https://example-suburban-partner.test/listings/bie-001,Demo Suburban Partner Feed,partner_csv,https://example-suburban-partner.test,Bielany Wrocławskie,Bielany Wrocławskie,bielany-wroclawskie-bielany-wroclawskie,Bielany Wrocławskie,Czekoladowa Bielany Wrocławskie,secondary,679000,PLN,59.6,3,1,3,2014,2026-04-25,2026-07-08,2026-07-08,74,1,0,false,51.0357,16.9675,10.7,540,1190,360,1800,1,0,0,75
bie-002,2 pokoje przy usługach Bielany,https://example-suburban-partner.test/listings/bie-002,Demo Suburban Partner Feed,partner_csv,https://example-suburban-partner.test,Bielany Wrocławskie,Bielany Wrocławskie,bielany-wroclawskie-bielany-wroclawskie,Bielany Wrocławskie,Kolejowa Bielany Wrocławskie,secondary,525000,PLN,46.3,2,2,3,2012,2026-05-21,2026-07-08,2026-07-08,48,0,0,false,51.0334,16.9644,11.0,610,1240,390,1750,1,0,0,73
ola-001,3 pokoje blisko centrum Oławy,https://example-suburban-partner.test/listings/ola-001,Demo Suburban Partner Feed,partner_csv,https://example-suburban-partner.test,Oława,Oława,olawa-olawa,Oława,Chrobrego Oława,secondary,558000,PLN,59.9,3,2,4,2006,2026-04-14,2026-07-08,2026-07-08,85,1,0,false,50.9457,17.2926,27.4,460,640,620,2200,2,1,0,76
ola-002,2 pokoje po remoncie Oława,https://example-suburban-partner.test/listings/ola-002,Demo Suburban Partner Feed,partner_csv,https://example-suburban-partner.test,Oława,Oława,olawa-olawa,Oława,Rynek Oława,secondary,438000,PLN,46.9,2,1,3,2004,2026-05-07,2026-07-08,2026-07-08,62,0,0,false,50.9464,17.2938,27.5,500,680,590,2300,2,1,0,75
